asin,brand,title,price,mrp,discount_pct,rating,review_count,size_tag,url
B07HCRSLFY,Skybags,Skybags Rubik Polyester 78 Cms Softsided Large check-in luggage,3099.0,9050.0,65.8,4.3,18960,large,https://www.amazon.in/dp/B07HCRSLFY
B0C8ZY4579,Skybags,"Skybags Cabin Stroke Abs Hardshell Luggage (55 Cm) | Printed Luggage 4 Wheel Inline Trolley Bag with 8 Wheels and in-Built Combination Lock | Unisex, Blue and White, Small",1649.0,4450.0,62.9,4.2,2487,cabin,https://www.amazon.in/dp/B0C8ZY4579
B0CPSW5WJ5,Skybags,Skybags Cabin Paratrip Hard Luggage (55 cm) | Polypropylene Luggage Trolley with 8 Spinner Wheels| Purple Oppulence | Unisex,1699.0,7060.0,75.9,4.4,780,cabin,https://www.amazon.in/dp/B0CPSW5WJ5
B097GSSCLC,Skybags,"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",1699.0,8999.0,81.1,4.2,33925,cabin,https://www.amazon.in/dp/B097GSSCLC
B0BV7HHF3W,Skybags,uppercase Polycarbonate JFK (Large) 76cm | Hardsided Check-in Trolley Bag for Travel Spinner Luggage | 8 Wheel Trolley Bag |Suitcase for Unisex |2000 Days Warranty (Teal Blue),4200.0,7000.0,40.0,4.3,1113,large,https://www.amazon.in/dp/B0BV7HHF3W
B0FFBBFDRN,VIP,"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",1799.0,6000.0,70.0,4.1,396,cabin,https://www.amazon.in/dp/B0FFBBFDRN
B0FFBBZT6M,VIP,"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",2699.0,9000.0,70.0,4.1,396,large,https://www.amazon.in/dp/B0FFBBZT6M
B0FFB9M337,VIP,"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",2699.0,9000.0,70.0,4.1,396,large,https://www.amazon.in/dp/B0FFB9M337
B0F5HLYQK3,VIP,American Tourister Liftoff+ | Large Size Check-in Trolley Bag (79 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Seafoam Blue,3799.0,9800.0,61.2,4.1,2285,large,https://www.amazon.in/dp/B0F5HLYQK3
B0DSJGQYGD,VIP,"FUR JADEN The Voyager 65cm German Polycarbonate Travel Luggage Check-in ZIPLESS Suitcase with 8 StealthTech Silent Wheels, Double TSA Locks & Aerospace Grade Wide Trolley (Stark Black, Medium 24"")",7999.0,13000.0,38.5,4.3,56,medium,https://www.amazon.in/dp/B0DSJGQYGD
B09M8PZYSF,VIP,"VIP Widget Durable Polyester Soft Sided Check-in Luggage Spinner Wheels with Quick Access Front Pockets (Medium, 69cm, Blue)",2369.0,9240.0,74.4,4.2,1128,medium,https://www.amazon.in/dp/B09M8PZYSF
B0F4K9VLQ8,VIP,VIP Lexus Check-in Trolley Bag 76cm | Large | Hard Luggage | Smooth 8-Wheel Suitcase | Flushed TSA Lock with Anti-Theft Zipper | Robust Polypropylene Shell | 5 Years International Warranty (Mustard),7700.0,17180.0,55.2,4.4,20,large,https://www.amazon.in/dp/B0F4K9VLQ8
B0CBTZP3CL,VIP,"VIP Unicorn Nxt 8W Str 80 Cm | Check-in Polyester Soft Sided 8 Wheels Spinner Trolleys (Blue, Large)",3029.0,14990.0,79.8,3.7,21,large,https://www.amazon.in/dp/B0CBTZP3CL
B0C8ZY4579,VIP,"Skybags Cabin Stroke Abs Hardshell Luggage (55 Cm) | Printed Luggage 4 Wheel Inline Trolley Bag with 8 Wheels and in-Built Combination Lock | Unisex, Blue and White, Small",1649.0,4450.0,62.9,4.2,2487,cabin,https://www.amazon.in/dp/B0C8ZY4579
B0FC6QHR4T,VIP,Aristocrat Polycarbonate Spinner Comet Cabin Trolley Bag 56cm|Small|Hard Luggage| Smooth 8-Wheel Suitcase|Combination Lock with Sturdy Zipper|Full Fabric Convipack|3-Year International Warranty (Blue),1439.0,7990.0,82.0,4.1,2466,cabin,https://www.amazon.in/dp/B0FC6QHR4T
B0F5HP8Z3M,VIP,American Tourister Liftoff+ | Medium Size Check-in Trolley Bag (67 cm) for Travel | 360° 8 Wheel Travel Luggage | Hard Case Polypropylene (PP) Suitcase | Mounted TSA Lock | Spa Blue,3299.0,8600.0,61.6,4.1,2285,medium,https://www.amazon.in/dp/B0F5HP8Z3M
B08436VD1D,VIP,DELSEY PARIS Belmont Plus 55 cms Small Cabin Polypropylene Hard-Sided 8 Wheels Spinner and Expandable Luggage/Suitcase/Trolley Bag for Travel with ®SECURI TECH Zip- Black,6927.0,16000.0,56.7,4.2,471,cabin,https://www.amazon.in/dp/B08436VD1D
